seed,coef_seed,train_seed,direction,frame_idx,true_x,true_y,pred_x,pred_y
0_0,0,0,45_fwd_right,73,4.9888,4.988797,1.3477058,3.3329344
0_0,0,0,45_fwd_right,74,5.088215,5.0882125,1.47369,3.3848524
0_0,0,0,45_fwd_right,75,5.185913,5.18591,1.5787277,3.4494085
0_0,0,0,45_fwd_right,76,5.2817917,5.28179,1.6799278,3.5422153
0_0,0,0,45_fwd_right,77,5.3757553,5.375754,1.7816734,3.6566935
0_0,0,0,45_fwd_right,78,5.467705,5.467705,1.8706894,3.7696705
0_0,0,0,45_fwd_right,79,5.5575523,5.5575514,1.9371948,3.883175
0_0,0,0,45_fwd_right,80,5.6452065,5.645207,2.0092735,3.9912357
0_0,0,0,45_fwd_right,81,5.730591,5.730589,2.0872993,4.100067
0_0,0,0,45_fwd_right,82,5.8136177,5.813619,2.1831436,4.2143784
0_0,0,0,45_fwd_right,83,5.894226,5.8942175,2.3003578,4.3184986
0_0,0,0,45_fwd_right,84,5.972328,5.9723287,2.4165192,4.3896275
0_0,0,0,45_fwd_right,85,6.0478745,6.0478716,2.5361671,4.4535923
0_0,0,0,45_fwd_right,86,6.1208,6.120798,2.6501236,4.5116653
0_0,0,0,45_fwd_right,87,6.1910515,6.1910477,2.7888985,4.5857315
0_0,0,0,45_fwd_right,88,6.258583,6.25858,2.948944,4.677294
0_0,0,0,45_fwd_right,89,6.323349,6.3233485,3.0971756,4.777729
0_0,0,0,45_fwd_right,90,6.385315,6.385312,3.2480354,4.8654423
0_0,0,0,45_fwd_right,91,6.4444504,6.444447,3.4175987,4.936281
0_0,0,0,45_fwd_right,92,6.5007324,6.5007305,3.5885315,5.0297394
0_0,0,0,45_fwd_right,93,6.554146,6.554144,3.7500687,5.116337
0_0,0,0,45_fwd_right,94,6.604679,6.604677,3.8865204,5.1605167
0_0,0,0,45_fwd_right,95,6.6523285,6.6523275,3.9731293,5.1356983
0_0,0,0,45_fwd_right,96,6.6971016,6.697099,4.0453568,5.1081963
0_0,0,0,45_fwd_right,97,6.73901,6.739008,4.0977325,5.087675
0_0,0,0,45_fwd_right,98,6.7780724,6.778072,4.119335,5.0618477
0_0,0,0,45_fwd_right,99,6.8143196,6.814321,4.1294746,5.0519886
0_0,0,0,45_fwd_right,100,6.847786,6.847783,4.165344,5.0381107
0_0,0,0,45_fwd_right,101,6.878517,6.8785152,4.2151794,5.0338173
0_0,0,0,45_fwd_right,102,6.9065666,6.9065638,4.2821198,5.040476
0_0,0,0,45_fwd_right,103,6.9319954,6.931989,4.3688164,5.0447903
0_0,0,0,45_fwd_right,104,6.954876,6.9548764,4.455147,5.041424
0_0,0,0,45_fwd_right,105,6.975292,6.97529,4.5349274,5.0348186
0_0,0,0,45_fwd_right,106,6.993328,6.993324,4.62307,5.02046
0_0,0,0,45_fwd_right,107,7.0090866,7.009083,4.7066193,4.98452
0_0,0,0,45_fwd_right,108,7.0226784,7.022675,4.7714615,4.9472904
0_0,0,0,45_fwd_right,109,7.034218,7.0342197,4.846718,4.9206543
0_0,0,0,45_fwd_right,110,7.043846,7.0438423,4.914894,4.899399
0_0,0,0,45_fwd_right,111,7.051693,7.0516934,4.99424,4.891802
0_0,0,0,45_fwd_right,112,7.0579147,7.0579166,5.0843506,4.893795
0_0,0,0,45_fwd_right,113,7.0626755,7.0626764,5.1535873,4.918722
0_0,0,0,45_fwd_right,114,7.0661507,7.0661464,5.194252,4.946703
0_0,0,0,45_fwd_right,115,7.068516,7.068515,5.2324677,4.9532795
0_0,0,0,45_fwd_right,116,7.069977,7.0699787,5.2606926,4.967247
0_0,0,0,45_fwd_right,117,7.0707397,7.0707393,5.2806435,4.9764824
0_0,0,0,45_fwd_right,118,7.071026,7.0710244,5.295433,4.960062
0_0,0,0,45_fwd_right,119,7.071068,7.0710673,5.288643,4.9615307
0_0,0,0,90_forward,0,0.0,0.0,0.0,0.0
0_0,0,0,90_forward,1,0.0,5.8174133e-05,-0.046821594,0.06110382
0_0,0,0,90_forward,2,0.0,0.00046300888,-0.10900879,0.1215868
0_0,0,0,90_forward,3,0.0,0.0015420914,-0.18035889,0.1794548
0_0,0,0,90_forward,4,0.0,0.0036082268,-0.2646637,0.23614311
0_0,0,0,90_forward,5,0.0,0.0069561005,-0.358078,0.2901287
0_0,0,0,90_forward,6,0.0,0.0118665695,-0.4554596,0.33409882
0_0,0,0,90_forward,7,0.0,0.018599987,-0.5483246,0.3654003
0_0,0,0,90_forward,8,0.0,0.027400017,-0.62828064,0.3640337
0_0,0,0,90_forward,9,0.0,0.038501263,-0.7148361,0.3466463
0_0,0,0,90_forward,10,0.0,0.05211258,-0.80246735,0.34589577
0_0,0,0,90_forward,11,0.0,0.06843758,-0.89092255,0.35695076
0_0,0,0,90_forward,12,0.0,0.087655544,-0.9849777,0.3530016
0_0,0,0,90_forward,13,0.0,0.109942436,-1.0646133,0.3461008
0_0,0,0,90_forward,14,0.0,0.13544941,-1.1366119,0.35057735
0_0,0,0,90_forward,15,0.0,0.16431904,-1.2083321,0.35119915
0_0,0,0,90_forward,16,0.0,0.19667816,-1.2700844,0.34195805
0_0,0,0,90_forward,17,0.0,0.23264122,-1.3400002,0.34366798
0_0,0,0,90_forward,18,0.0,0.27230787,-1.4180489,0.3419237
0_0,0,0,90_forward,19,0.0,0.31576824,-1.510292,0.32774067
0_0,0,0,90_forward,20,0.0,0.3630972,-1.6071091,0.3240261
0_0,0,0,90_forward,21,0.0,0.41435862,-1.6780357,0.32380772
0_0,0,0,90_forward,22,0.0,0.4696021,-1.7429886,0.31204128
0_0,0,0,90_forward,23,0.0,0.52887106,-1.7835388,0.29286575
0_0,0,0,90_forward,24,0.0,0.5921898,-1.8151474,0.31459713
0_0,0,0,90_forward,25,0.0,0.6595783,-1.8439407,0.35565853
0_0,0,0,90_forward,26,0.0,0.73104,-1.8742714,0.39206982
0_0,0,0,90_forward,27,0.0,0.80657816,-1.909195,0.4170046
0_0,0,0,90_forward,28,0.0,0.88617325,-1.9554367,0.43380642
0_0,0,0,90_forward,29,0.0,0.9698038,-1.9995728,0.46280956
0_0,0,0,90_forward,30,0.0,1.057437,-2.0869064,0.53413296
0_0,0,0,90_forward,31,0.0,1.1490312,-2.177124,0.62659264
0_0,0,0,90_forward,32,0.0,1.2445326,-2.2737617,0.7536373
0_0,0,0,90_forward,33,0.0,1.343884,-2.3878784,0.87161636
0_0,0,0,90_forward,34,0.0,1.4470158,-2.4619827,0.9848671
0_0,0,0,90_forward,35,0.0,1.5538535,-2.509758,1.0894232
0_0,0,0,90_forward,36,0.0,1.6643128,-2.586834,1.2162237
0_0,0,0,90_forward,37,3.8146973e-06,1.7782989,-2.665699,1.3513927
0_0,0,0,90_forward,38,0.0,1.8957229,-2.7347183,1.487463
0_0,0,0,90_forward,39,0.0,2.0164728,-2.7906609,1.6154032
0_0,0,0,90_forward,40,0.0,2.1404362,-2.8393211,1.7422504
0_0,0,0,90_forward,41,0.0,2.2675,-2.8940887,1.8832912
0_0,0,0,90_forward,42,0.0,2.3975358,-2.951725,2.0273314
0_0,0,0,90_forward,43,0.0,2.530418,-3.015686,2.1597443
